Name,Published Date,Original Price,Discount Price,Reviews,Search Filter
Steam Deck,"17 Jan, 2025",N/A,N/A,N/A,topsellers
007 First Light,"26 May, 2026",N/A,Rp 650 000,3087,topsellers
Counter-Strike 2,"21 Aug, 2012",N/A,Free,2544423,topsellers
Forza Horizon 6,"18 May, 2026",N/A,Rp 899 000,24208,topsellers
Paralives,"25 May, 2026",Rp 299 999,Rp 269 999,5252,topsellers
Where Winds Meet,"14 Nov, 2025",N/A,Free,61243,topsellers
Subnautica 2,"14 May, 2026",N/A,Rp 350 999,57672,topsellers
Street Fighter™ 6,"1 Jun, 2023",N/A,Rp 490 000,19774,topsellers
PUBG: BATTLEGROUNDS,"21 Dec, 2017",N/A,Free,445792,topsellers
Apex Legends™,"4 Nov, 2020",N/A,Free,442937,topsellers
Starminer,"27 May, 2026",Rp 254 999,Rp 229 499,355,topsellers
LEGO® Batman™: Legacy of the Dark Knight,"22 May, 2026",N/A,Rp 1 149 000,3749,topsellers
Limbus Company,"26 Feb, 2023",N/A,Free,45233,topsellers
TEKKEN 8,"25 Jan, 2024",Rp 499 000,Rp 299 400,26274,topsellers
Grand Theft Auto V Enhanced,"4 Mar, 2025",Rp 439 000,Rp 219 500,61610,topsellers
"Warhammer 40,000: Space Marine 2","9 Sep, 2024",Rp 549 000,Rp 164 700,91460,topsellers
Warframe,"25 Mar, 2013",N/A,Free,293633,topsellers
The Outlast Trials,"5 Mar, 2024",Rp 299 999,Rp 89 999,39209,topsellers
Romestead,"25 May, 2026",Rp 99 999,Rp 89 999,612,topsellers
Marvel Rivals,"5 Dec, 2024",N/A,Free,282058,topsellers
Dead by Daylight,"14 Jun, 2016",N/A,Rp 219 890,255454,topsellers
Once Human,"9 Jul, 2024",N/A,Free,83263,topsellers
Dota 2,"9 Jul, 2013",N/A,Free,828720,topsellers
Overwatch®,"10 Aug, 2023",N/A,Free,157553,topsellers
Total War: WARHAMMER III,"16 Feb, 2022",Rp 648 999,Rp 97 349,54367,topsellers
